pattern_len,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15
12,pattern_tsfel,285,0.5242105263157895,0.016458087510039344,0.2201891487405843,0.5134502923976608,0.023092794295058814,0.22156821992419215
12,pattern_raw_cosine,285,0.38807017543859645,0.01049429039553172,0.16771790386093893,0.3707602339181286,0.014067210049658479,0.16354656529962058
12,pattern_raw_dtw,285,0.3729824561403509,0.010218380496061883,0.16125365070793599,0.3649122807017544,0.01394728242911561,0.16024876147072906
24,pattern_tsfel,285,0.5431578947368422,0.017766761577781814,0.2177363719032746,0.5335672514619882,0.025132109605960552,0.2203387803740301
24,pattern_raw_cosine,285,0.4154385964912281,0.012202510595171365,0.1706297613216631,0.40023391812865494,0.0168023667017767,0.16730145707774363
24,pattern_raw_dtw,285,0.40842105263157896,0.011787630098070302,0.16522273601780252,0.4025730994152047,0.016394350663039202,0.1654521381116143
36,pattern_tsfel,285,0.5378947368421053,0.01737888827838975,0.22155126235955638,0.528888888888889,0.02444211005570952,0.2233447103134044
36,pattern_raw_cosine,285,0.40035087719298246,0.011911280872731063,0.17885299397808582,0.39438596491228073,0.016344522822422228,0.1747799245880077
36,pattern_raw_dtw,285,0.40070175438596495,0.011338998134063687,0.17801806625494915,0.38526315789473686,0.015283858635688864,0.17371963045335176
